scientificName,taxonRank,status
Aspleniineae H.Schneid. & C.J.Rothf.,suborder,in PPG not WF
Dennstaedtiineae Schwartsb. & Hovenkamp,suborder,in PPG not WF
Equisetidae Warm.,subclass,in PPG not WF
Japanobotrychium Masam.,genus,in PPG not WF
Lindsaeineae Lehtonen & Tuomisto,suborder,in PPG not WF
Lycopodiopsida Bartl.,class,in PPG not WF
Marattiidae Klinge,subclass,in PPG not WF
Ophioglossidae Klinge,subclass,in PPG not WF
"Polypodiidae Cronquist, Takht. & W.Zimm.",subclass,in PPG not WF
Polypodiineae Dumort.,suborder,in PPG not WF
"Polypodiopsida Cronquist, Takht. & W.Zimm.",class,in PPG not WF
Pteridineae J.Prado & Schuettp.,suborder,in PPG not WF
Saccolomatineae Hovenkamp,suborder,in PPG not WF
Thelypteridoideae C.F.Reed,subfamily,in PPG not WF
Thysanosoria A.Gepp,genus,in PPG not WF
"Brownseya Li Bing Zhang, L.D.Sheph., D.K.Chen, X.M.Zhou & H.He",genus,in WF not PPG
Davallodes (Copel.) Copel.,genus,in WF not PPG
Dennstaedtioideae,subfamily,in WF not PPG
Goniophlebieae C.C.Chen & H.Schneider,tribe,in WF not PPG
Hypolepidoideae Lovis,subfamily,in WF not PPG
Japanobotrychum Masam.,genus,in WF not PPG
Lecanoptereae C.C.Chen & H.Schneider,tribe,in WF not PPG
"Lepisoreae Ching ex E.Hennipman, P.Veldhoen & K.U.Kramer",tribe,in WF not PPG
Lycopodiastroideae Li Bing Zhang & X.M.Zhou,subfamily,in WF not PPG
Microsoreae V.N.Tu,tribe,in WF not PPG
"Monachosoroideae Crabbe, Jermy & Mickel",subfamily,in WF not PPG
Orthiopteris Copel.,genus,in WF not PPG
Physematium Kaulf.,genus,in WF not PPG
Podosorus Holttum,genus,in WF not PPG
"Sticheroides L.V.Lima, Salino & T.E.Almeida",genus,in WF not PPG
Thelypteroideae C.F.Reed,subfamily,in WF not PPG
Thylacoptereae C.C.Chen & H.Schneider,tribe,in WF not PPG
