given_name,surname,name,institution,country
Agustina,Yañez,Agustina Yañez,Museo Argentino de Ciencias Naturales “Bernardino Rivadavia”,Argentina
Alan R.,Smith,Alan R. Smith,University of California Berkeley,USA
Alan,Weakley,Alan Weakley,University of North Carolina Chapel Hill,USA
Alejandra,Vasco,Alejandra Vasco,Botanical Research Institute of Texas,USA
Aleksey,Vaganov,Aleksey Vaganov,Altai State University,Russian Federation
Alexander,Shmakov,Alexander Shmakov,Altai State University,Russian Federation
Alexandre,Salino,Alexandre Salino,Universidade Federal de Minas Gerais,Brazil
Alison M.,Paul,Alison M. Paul,Natural History Museum,England UK
Amanda L.,Grusz,Amanda L. Grusz,University of Minnesota Duluth,USA
Ana Gabriela,Martinez-Becerril,Ana Gabriela Martinez-Becerril,Smithsonian Institution,USA
André Luís de,Gasper,André Luís de Gasper,Universidade Regional de Blumenau,Brazil
Angelo,Troia,Angelo Troia,University of Palermo,Italy
Arthur V.,Gilman,Arthur V. Gilman,University of Vermont,USA
Ashley R.,Field,Ashley R. Field,Australian Tropical Herbarium,Australia
Atiles,Reis,Atiles Reis,Universidade Federal do Rio de Janeiro,Brazil
Atsushi,Ebihara,Atsushi Ebihara,National Museum of Nature and Science,Japan
Barbara,Parris,Barbara Parris,Fern Research Foundation,New Zealand
Benjamin,Dauphin,Benjamin Dauphin,Swiss Federal Research Institute WSL,Switzerland
Bertrand,Black,Bertrand Black,University of Vermont,USA
Blanca,León,Blanca León,Museo de Historia Natural U.N.M.S.M.,Peru
Buenaventura,Caldera,Buenaventura Caldera,Herbario IRBR de la Universidad de Oriente,Venezuela
Carl J.,Rothfels,Carl J. Rothfels,Utah State University,USA
Carlos,Sánchez,Carlos Sánchez,Jardín Botánico Nacional Universidad de La Habana,Cuba
Carrie M.,Tribble,Carrie M. Tribble,University of Washington,USA
Cheng-Wei,Chen,Cheng-Wei Chen,National Taiwan Normal University,Taiwan
Chi-Chuan,Chen,Chi-Chuan Chen,University of Turku,Finland
Chia-Tung,Chen,Chia-Tung Chen,National Taiwan Normal University,Taiwan
Chinedum,Anajemba,Chinedum Anajemba,Utah State University,USA
Christian A.,López,Christian A. López,University of Texas Austin,USA
Christopher,Haufler,Christopher Haufler,University of Kansas,USA
Christopher,Hoess,Christopher Hoess,Delaware Technical Community College,USA
Christopher P.,Krieg,Christopher P. Krieg,Wake Forest University,USA
Chun-Xiang,Li,Chun-Xiang Li,Nanjing Institute of Geology and Palaeontology,China
Claudine M.,Mynssen,Claudine M. Mynssen,Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,Brazil
Cyprien,Dobra,Cyprien Dobra,Société Botanique de France,France
Daniel James,Ohlsen,Daniel James Ohlsen,Royal Botanic Gardens Victoria,Australia
Daniele,Cicuzza,Daniele Cicuzza,Universiti Brunei Darussalam,Brunei Darussalam
David J.,Middleton,David J. Middleton,Royal Botanic Garden Edinburgh,"Scotland, UK"
David S.,Barrington,David S. Barrington,University of Vermont,USA
David,Sanín,David Sanín,Universidad Industrial de Santander,Colombia
David,Wickell,David Wickell,Cornell University,USA
Dieder de,Frens,Dieder de Frens,University of Zurich,Switzerland
Diego Tavares,Vasques,Diego Tavares Vasques,University of Tokyo,Japan
Edgar Javier,Rincón-Barón,Edgar Javier Rincón-Barón,Universidad de Santander,Colombia
Emily B.,Sessa,Emily B. Sessa,New York Botanical Garden,USA
Eric,Schuettpelz,Eric Schuettpelz,Smithsonian Institution,USA
Erin M.,Sigel,Erin M. Sigel,University of New Hampshire,USA
Esteban I.,Meza-Torres,Esteban I. Meza-Torres,Unidad Ejecutora Lillo,Argentina
Evelin,Krol,Evelin Krol,University of Zurich,Switzerland
Fay-Wei,Li,Fay-Wei Li,Duke University,USA
Fernanda Stefany Nunes,Costa,Fernanda Stefany Nunes Costa,Universidade Federal do Rio de Janeiro,Brazil
Fernando B.,Matos,Fernando B. Matos,Centro de Referência em Informação Ambiental,Brazil
Filipe Soares de,Souza,Filipe Soares de Souza,Biocev Projetos Inteligentes,Brazil
Fulgent P.,Coritico,Fulgent P. Coritico,Central Mindanao University,Philippines
Gbenga Festus,Akomolafe,Gbenga Festus Akomolafe,Federal University of Lafia,Nigeria
George,Yatskievych,George Yatskievych,University of Texas Austin,USA
Germinal,Rouhan,Germinal Rouhan,Muséum national d'Histoire naturelle,France
Guillermo,Santos,Guillermo Santos,Universidad Complutense de Madrid,Spain
Hanna,Tuomisto,Hanna Tuomisto,Aarhus University,Denmark
Harald,Schneider,Harald Schneider,Xishuangbanna Tropical Botanical Garden,China
Hong-Mei,Liu,Hong-Mei Liu,Xishuangbanna Tropical Botanical Garden,China
Hui,Shang,Hui Shang,Shanghai Chenshan Botanical Garden,China
Iván A.,Valdespino,Iván A. Valdespino,University of Panama,Panama
J. Daniel,Tejero-Díez,J. Daniel Tejero-Díez,Universidad Nacional Autónoma de México,Mexico
Jacob,Suissa,Jacob Suissa,University of Tennessee,USA
James E.,Watkins Jr.,James E. Watkins Jr.,Colgate University,USA
Jean-Yves,Dubuisson,Jean-Yves Dubuisson,Sorbonne Université,France
Jefferson,Prado,Jefferson Prado,Instituto de Pesquisas Ambientais,Brazil
Jeffrey P.,Benca,Jeffrey P. Benca,University of California Berkeley,USA
Jessie A.,Pelosi,Jessie A. Pelosi,University of Arizona,USA
Joel H.,Nitta,Joel H. Nitta,Chiba University,Japan
Jonas I.,Mendez-Reneau,Jonas I. Mendez-Reneau,Missouri Botanical Garden,USA
Jordan,Metzgar,Jordan Metzgar,Virginia Polytechnic Institute and State University,USA
José,Murillo-A.,José Murillo-A.,Universidad Nacional de Colombia,Colombia
Jovani B. de S.,Pereira,Jovani B. de S. Pereira,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany
Jovita Cislinski,Yesilyurt,Jovita Cislinski Yesilyurt,Natural History Museum,England UK
Julián,Mostacero,Julián Mostacero,Universidad Central de Venezuela,Venezuela
K. P.,Rajesh,K. P. Rajesh,Zamorin's Guruvayurappan College,India
Kaimei,Zhang,Kaimei Zhang,Nanjing Forestry University,China
Kathleen M.,Pryer,Kathleen M. Pryer,Duke University,USA
Kathryn T.,Picard,Kathryn T. Picard,Smithsonian Institution,USA
Ke-Wang,Xu,Ke-Wang Xu,Nanjing Forestry University,China
Keir,Wefferling,Keir Wefferling,University of Wisconsin Green Bay,USA
Kiyotaka,Hori,Kiyotaka Hori,Kochi Prefectural Makino Botanical Garden,Japan
Klaus,Mehltreter,Klaus Mehltreter,Instituto de Ecología A. C.,Mexico
Lana da Silva,Sylvestre,Lana da Silva Sylvestre,Universidade Federal do Rio de Janeiro,Brazil
Layne,Huiet,Layne Huiet,Duke University,USA
Ledis,Regalado,Ledis Regalado,University of Goettingen,Germany
Leon R.,Perrie,Leon R. Perrie,Museum of New Zealand Te Papa Tongarewa,New Zealand
Li-Bing,Zhang,Li-Bing Zhang,Missouri Botanical Garden,USA
Li-Yaung,Kuo,Li-Yaung Kuo,National Tsing Hua University,Taiwan
Liang,Zhang,Liang Zhang,Kunming Institute of Botany,China
Libor,Ekrt,Libor Ekrt,University of South Bohemia,Czech Republic
Lucas Vieira,Lima,Lucas Vieira Lima,Universidade Federal de Itajubá,Brazil
Luz A.,Triana-Moreno,Luz A. Triana-Moreno,Universidad de Caldas,Colombia
Marcelo,Arana,Marcelo Arana,Fundacion Miguel Lillo,Argentina
Marcus,Lehnert,Marcus Lehnert,Martin-Luther-Universität Halle-Wittenberg,Germany
Maria Amalia,Scataglini,Maria Amalia Scataglini,Instituto de Botánica Darwinion,Argentina
Marielle,Wilson,Marielle Wilson,University of British Columbia,Canada
Mario,Mairal,Mario Mairal,Universidad Complutense de Madrid,Spain
Marjorie D.,delos Angeles,Marjorie D. delos Angeles,University of the Philippines Los Baños,Philippines
Maryani A. Mustapeng,Andi,Maryani A. Mustapeng Andi,Sabah Forestry Department,Malaysia
María Vicent,Fernández,María Vicent Fernández,Universidad Alfonso X El Sabio,Spain
Melanie A.,Link-Pérez,Melanie A. Link-Pérez,University of Wisconsin Madison,USA
Michael D,Windham,Michael D Windham,Duke University,USA
Michael,Hassler,Michael Hassler,Editor of WorldPlants database,Germany
Michael,Kessler,Michael Kessler,University of Zurich,Switzerland
Michael S.,Barker,Michael S. Barker,University of Arizona,USA
Michael,Sundue,Michael Sundue,Royal Botanic Garden Edinburgh,"Scotland, UK"
Michel,Boudrie,Michel Boudrie,Muséum national d'Histoire naturelle,France
Monica,Ponce,Monica Ponce,Instituto de Botánica Darwinion,Argentina
Muhammad,Irfan,Muhammad Irfan,University of Swabi,Pakistan
Mwihaki J.,Karichu,Mwihaki J. Karichu,New York Botanical Garden,USA
Ngan Lu,Thi,Ngan Lu Thi,Vietnam Academy of Science and Technology,Vietnam
Olga G.,Martínez,Olga G. Martínez,Universidad Nacional de Salta,Argentina
Paul G.,Wolf,Paul G. Wolf,University of Alabama Huntsville,USA
Paulo H.,Labiak,Paulo H. Labiak,Universidade Federal do Paraná,Brazil
Pedro B.,Schwartsburd,Pedro B. Schwartsburd,Universidade Federal de Viçosa,Brazil
Peter D.,Bostock,Peter D. Bostock,Queensland Herbarium and Biodiversity Science,Australia
Radvilė,Rimgailė-Voicik,Radvilė Rimgailė-Voicik,Vilnius University,Lithuania
Ralf,Knapp,Ralf Knapp,Muséum national d'Histoire naturelle,Germany
Ran,Wei,Ran Wei,Institute of Botany Chinese Academy of Sciences,China
Ranil,Rajapaksha,Ranil Rajapaksha,University of Peradeniya,Sri Lanka
Raquel Stauffer,Viveros,Raquel Stauffer Viveros,Universidade Federal de Minas Gerais,Brazil
Regina Yoshie,Hirai,Regina Yoshie Hirai,Instituto de Pesquisas Ambientais,Brazil
Robbin C.,Moran,Robbin C. Moran,New York Botanical Garden,USA
Rubén Vázquez,Ferreira,Rubén Vázquez Ferreira,Universidad Complutense de Madrid,Spain
Sabine,Hennequin,Sabine Hennequin,Université Pierre et Marie Curie,France
Sachin,Patil,Sachin Patil,Dr. Ghali College,India
Samuli,Lehtonen,Samuli Lehtonen,University of Turku,Finland
Sarah K.,Morris,Sarah K. Morris,University of Vermont,USA
Sarvesh Kumar,Singh,Sarvesh Kumar Singh,Government Girls Post Graduate College Ghazipur,India
Saúl,Páez,Saúl Páez,Instituto de Botánica del Nordeste,Argentina
Shi-Yong,Dong,Shi-Yong Dong,South China Botanical Garden,China
Sonia,Molino,Sonia Molino,Universidad Rey Juan Carlos,Spain
Stuart,Lindsay,Stuart Lindsay,Royal Botanic Garden Edinburgh,"Scotland, UK"
Susan,Fawcett,Susan Fawcett,University of California Berkeley,USA
Sylvia P.,Kinosian,Sylvia P. Kinosian,Montana State University,USA
Tao,Fujiwara,Tao Fujiwara,Tokyo Metropolitan University,Japan
Thaís Elias,Almeida,Thaís Elias Almeida,Universidade Federal de Pernambuco,Brazil
Thiago Vieira,Costa,Thiago Vieira Costa,Universidade Federal Rural do Rio de Janeiro,Brazil
Ting,Wang,Ting Wang,South China Botanical Garden,China
Titien Ngatinem,Praptosuwiryo,Titien Ngatinem Praptosuwiryo,National Agency for Research and Innovation,Indonesia
Tom A.,Ranker,Tom A. Ranker,University of Hawai‘i,USA
Tzu-Tong,Kao,Tzu-Tong Kao,National Sun Yat-sen University,Taiwan
Vanessa,Lino,Vanessa Lino,Universidade Regional de Blumenau,Brazil
Venni,Keskiniva,Venni Keskiniva,University of Turku,Finland
Victor B.,Amoroso,Victor B. Amoroso,Central Mindanao University,Philippines
Vinciane,Mossion,Vinciane Mossion,Aix-Marseille University,France
Vinícius Antonio de Oliveira,Dittrich,Vinícius Antonio de Oliveira Dittrich,Universidade Federal de Juiz de Fora,Brazil
Wang,Bo,Wang Bo,Guizhou University of Traditional Chinese Medicine,China
Warren D.,Hauk,Warren D. Hauk,Denison University,USA
Wataru,Shinohara,Wataru Shinohara,Kagawa University,Japan
Weston L.,Testo,Weston L. Testo,University of Vermont,USA
Wita,Wardani,Wita Wardani,National Research and Innovation Agency,Indonesia
Xin-Mao,Zhou,Xin-Mao Zhou,Yunnan University,China
Yea-Chen,Liu,Yea-Chen Liu,"Museo Argentino de Ciencias Naturales ""Bernardino Rivadavia""",Taiwan
Yi-Fan,Duan,Yi-Fan Duan,Nanjing Forestry University,China
Yi-Han,Chang,Yi-Han Chang,Taiwan Forestry Research Institute,Taiwan
Yi-Shan,Chao,Yi-Shan Chao,National Taiwan Normal University,Taiwan
Yue-Hong,Yan,Yue-Hong Yan,Shanghai Chenshan Botanical Garden,China
Zheng-Yu,Zuo,Zheng-Yu Zuo,Shandong Agricultural University,China
Zhi-Xiang,Chang,Zhi-Xiang Chang,Taiwan Forestry Research Institute,Taiwan
