number,title,url,created_at,user,state,name,rank,no_species,description,status
117,Recognize Podosorus [PASSED],https://github.com/pteridogroup/ppg/issues/117,2025-12-29T01:22:11Z,joelnitta,closed,Podosorus,Genus,1,PPG I (2016) did not treat _Podosorus_. This proposal recognizes _Podosorus_ in Polypodiaceae subfam. Microsoroideae.,PASSED
116,Recognition of Brownseya [PASSED],https://github.com/pteridogroup/ppg/issues/116,2025-12-23T22:13:32Z,crothfels,closed,Brownseya,Genus,1,"_Pseudolycopodiella_ _serpentina_ (Kunze) Holub was demonstrated to be phylogenetically distant from _Pseudolycopodiella_ and is instead sister to _Palhinhaea_ (Chen et al. 2022). In response, Chen et al. proposed a new genus for this species: _Brownseya_. ",PASSED
114,Recognize Dendroconche and Zealandia [PASSED],https://github.com/pteridogroup/ppg/issues/114,2025-11-27T07:16:00Z,joelnitta,closed,"Dendroconche, Zealandia",Genus,16,This proposal recognizes two lineages that are closely related to *Lecanopteris* as distinct genera to move closer towards a monophyletic *Microsorum* while maintaining the current circumscription of *Lecanopteris*. ,PASSED
113,"Recognition of Sticheroides as a segregate of Sticherus (Gleicheniaceae, Polypodiopsida) [PASSED]",https://github.com/pteridogroup/ppg/issues/113,2025-11-21T14:47:01Z,lucaslima1618,closed,Sticheroides,Genus,2,"A phylogenetic study based on genomic-scaled dataset, with extensive geographic sampling, recovered _Sticherus_ as paraphyletic (Lima et al. in Molec. Phylogen. Evol. 184: 107782. 2023). The clade called _Sticherus s.s_, including _S. laevigatus_, the type of the genus, and _Sticherus milnei_ (Baker) Ching was recovered as sister to a larger clade comprising _Stromatopteris_ and _Gleichenia_, which in turn is sister to the remaining species of Sticherus (referred to here as the aff. _Sticherus_ clade; Lima et al. 2023). _Sticherus s.s._ is characterized by having an anisotomic branching pattern, whereas the species in the aff. _Sticherus_ clades are characterized by having an isotomic branching pattern. The aff. _Sticherus_ clade has a pantropical distribution with most of its species occurring in the Neotropics (about 54 species), whereas the _Sticherus s.s._ clade (_S. laevigatus_ and _S. milnei_) occurs only in Southeast Asia and Australasia (Holttum, l.c.; Chinnock & Bell in Fl. Australia 48: 148–162. 1998; Gonzales & Kessler, 2011). Divergence time estimates suggest that the split between _Sticherus s.s._ from the _Gleichenia_+_Stromatopteris_+aff. _Sticherus_ clade occurred around 114–117 mya, with the latter diverging from _Stromatopteris_ and _Gleichenia_ at approximately 111–113 mya (Lima et al. 2023).",PASSED
112,Raising the subgenera of Equisetum to genus level: second round [NOT PASSED],https://github.com/pteridogroup/ppg/issues/112,2025-11-03T08:02:30Z,MichaelKessler979,closed,Equisetum,Genus,9,"Raising the subgenera of _Equisetum_ L. to genus level: _Equisetum_ L. (about 9 species), _Hippochaete_ Milde (about 8 species), and _Paramochaete_ (Christenh. & Husby) M.Kessler (1 species)",NOT PASSED
111,Recognize a broadly construed Selliguea [PASSED],https://github.com/pteridogroup/ppg/issues/111,2025-10-28T06:46:13Z,joelnitta,closed,"Arthromeris, Gymnogrammitis, Paraselliguea, Polypodiopteris, Selliguea",Genus,53,"This proposal synonymizes _Arthromeris_ (T.Moore) J.Sm., _Gymnogrammitis_ Griff., _Paraselliguea_ Hovenkamp, and _Polypodiopteris_ C.F.Reed under _Selliguea_ Bory.",PASSED
108,Recognition of ×Christelliopsis (Thelypteridaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/108,2025-07-01T01:04:31Z,choess,closed,×Christelliopsis,Nothogenus,1,"Recognition of the nothogenus × _Christelliopsis_ Miles K.Thomas, to accommodate hybrids between _Christella_ and _Menisciopsis_.",PASSED
107,Subsuming Radiogrammitis and Themelium into Oreogrammitis [PASSED],https://github.com/pteridogroup/ppg/issues/107,2025-06-27T18:00:06Z,choess,closed,"Oreogrammitis, Radiogrammitis, Themelium",Genus,46,"_Radiogrammitis_ Parris and _Themelium_ (T.Moore) Parris, _sensu_ PPG I, are to be included in an expanded _Oreogrammitis_ Copel.",PASSED
106,Recognition of ×Phlebosia (Polypodiaceae) [NOT PASSED],https://github.com/pteridogroup/ppg/issues/106,2025-06-17T05:20:45Z,choess,closed,×Phlebosia,Nothogenus,1,"Recognition of the nothogenus × _Phlebosia_ Viane & Pompe, to accommodate hybrids between _Phlebodium_ & _Pyrrosia_ (Polypodiaceae).",NOT PASSED
103,Subsuming Zygophlebia into Enterosora [PASSED],https://github.com/pteridogroup/ppg/issues/103,2025-06-11T14:27:38Z,msundue,closed,"Enterosora, Zygophlebia",Genus,five,"We propose to synonymize _Zygophlebia_ with _Enterosora_ as suggested by PPGI and based on the phylogenetic results of Sundue et al. (2014), Bauret et al. (2017), Shalisko et al. (2019) and Zhou et al. (2023) which find _Enterosora_ nested within it. The genera were originally distinguished based on the presence of spongiose leaves, but this trait has been shown to evolve multiples times. Although the type of _Entersoroa,_ _E. campbellii_, has not been included in any phylogenetic study, Shalisko et al. included _E. campbellii_ var. _spongiosa_ which differs only in geography and degree of lamina dissection. Shalisko did include _Z. sectifrons_, the type of _Zygophlebia._ ",PASSED
