genus,species
Huperzia,62
Mucura,5
Pseudophegopteris,28
Meniscium,26
Pelazoneuron,16
Pneumatopteris,11
Reholttumia,30
Thelypteris,2
Trigonospora,12
Diplazium,399
Microgramma,30
Dicranopteris,24
Diplopterygium,21
Gleichenia,10
Sticherus,89
Amblovenatum,6
Chingia,26
Christella,67
Coryphopteris,71
Cyclosorus,2
Goniopteris,140
Selaginella,775
Alsophila,246
Sphaeropteris,107
Adiantum,250
Hemionitis,7
Polystichum,452
Elaphoglossum,650
Cyclodium,13
Polybotrya,40
Triplophyllum,31
Scleroglossum,9
Pleopeltis,93
Adiantopsis,35
Aleuritopteris,100
Cheilanthes,29
Doryopteris,41
Trachypteris,3
Olfersia,2
